,date,format,location,title,url
0,2017-03-10T14:00:00.000Z,workshop,atlanta,Excel Bootcamp: Formulas & Functions,http://generalassemb.ly/education/excel-bootcamp-formulas-functions/atlanta/34596
1,2017-03-13T22:00:00.000Z,info-session,atlanta,Data Science Immersive Info Session,http://generalassemb.ly/education/data-science-immersive/atlanta/learn-more/6454
2,2017-03-13T23:00:00.000Z,course,atlanta,User Experience Design,http://generalassemb.ly/education/user-experience-design/atlanta
3,2017-03-14T22:00:00.000Z,info-session,atlanta,Data Science Info Session,http://generalassemb.ly/education/data-science/atlanta/learn-more/6405
4,2017-03-14T22:30:00.000Z,class,atlanta,Javascript 101,http://generalassemb.ly/education/javascript-101/atlanta/34759
5,2017-03-14T23:00:00.000Z,event,atlanta,The Future of Media: How Tech is Disrupting Journalism,http://generalassemb.ly/education/the-future-of-media-how-tech-is-disrupting-journalism/atlanta/34459
6,2017-03-15T22:30:00.000Z,event,atlanta,Networking and Interview Tips for Job Seekers,http://generalassemb.ly/education/networking-and-interview-tips-for-job-seekers/atlanta/34469
7,2017-03-16T22:00:00.000Z,event,atlanta,Product Tank March Meetup: PM Lessons Learned the Hard Way,http://generalassemb.ly/education/product-tank-march-meetup-pm-lessons-learned-the-hard-way/atlanta/34378
8,2017-03-17T14:00:00.000Z,workshop,atlanta,Digital Marketing Bootcamp,http://generalassemb.ly/education/digital-marketing-bootcamp--2/atlanta/34603
9,2017-03-18T17:00:00.000Z,class,atlanta,Introduction to Google Analytics,http://generalassemb.ly/education/introduction-to-google-analytics/atlanta/34718
10,2017-03-20T13:00:00.000Z,immersive,atlanta,User Experience Design Immersive,http://generalassemb.ly/education/user-experience-design-immersive/atlanta
11,2017-03-20T22:00:00.000Z,info-session,atlanta,Web Development Immersive Info Session,http://generalassemb.ly/education/web-development-immersive/atlanta/learn-more/6453
12,2017-03-20T22:30:00.000Z,workshop,atlanta,Introduction to Data Visualization,http://generalassemb.ly/education/introduction-to-data-visualization/atlanta/32697
13,2017-03-20T23:00:00.000Z,class,atlanta,How to Monetize with Content Marketing,http://generalassemb.ly/education/how-to-monetize-with-content-marketing/atlanta/34720
14,2017-03-21T22:00:00.000Z,class,atlanta,UX Fundamentals: Wireframing & Prototyping,http://generalassemb.ly/education/ux-fundamentals-wireframing-prototyping/atlanta/32622
15,2017-03-21T22:30:00.000Z,event,atlanta,The Atlanta Hawks - Connecting to Next Generation Atlanta,http://generalassemb.ly/education/the-atlanta-hawks-connecting-to-next-generation-atlanta/atlanta/34331
16,2017-03-21T22:30:00.000Z,class,atlanta,UX Design 101,http://generalassemb.ly/education/ux-design-101/atlanta/32392
17,2017-03-22T22:30:00.000Z,event,atlanta,Atlanta Innovates: FinTech,http://generalassemb.ly/education/atlanta-innovates-fintech/atlanta/34547
18,2017-03-22T22:30:00.000Z,class,atlanta,Intro to Facebook Advertising,http://generalassemb.ly/education/intro-to-facebook-advertising/atlanta/33178
19,2017-03-22T22:30:00.000Z,class,atlanta,Product Management 101,http://generalassemb.ly/education/product-management-101-f2ff0d2e-a76e-435e-b283-7567e6c7bf5f/atlanta/34958
20,2017-03-23T22:00:00.000Z,class,atlanta,Data Science 101,http://generalassemb.ly/education/data-science-101/atlanta/34722
21,2017-03-23T23:00:00.000Z,event,atlanta,Websites with WIFTA: Building an HTML/CSS Site for Filmmakers,http://generalassemb.ly/education/websites-with-wifta-building-an-htmlcss-site-for-filmmakers/atlanta/34731
22,2017-03-24T13:00:00.000Z,workshop,atlanta,Social Media Strategy Mapping,http://generalassemb.ly/education/social-media-strategy-mapping/atlanta/33638
23,2017-03-24T14:00:00.000Z,workshop,atlanta,Adobe Photoshop Bootcamp,http://generalassemb.ly/education/adobe-photoshop-bootcamp/atlanta/34704
24,2017-03-25T13:00:00.000Z,event,atlanta,Spark Innovation: Speed Mentoring for  Fempreneurs,http://generalassemb.ly/education/spark-innovation-speed-mentoring-for-fempreneurs/atlanta/34431
25,2017-03-27T13:00:00.000Z,immersive,atlanta,Data Science Immersive,http://generalassemb.ly/education/data-science-immersive/atlanta
26,2017-03-27T22:00:00.000Z,info-session,atlanta,User Experience Design Immersive Info Session,http://generalassemb.ly/education/user-experience-design-immersive/atlanta/learn-more/6455
27,2017-03-27T23:00:00.000Z,class,atlanta,Coding 101: HTML & CSS,http://generalassemb.ly/education/coding-101-html-css/atlanta/32358
28,2017-03-28T23:00:00.000Z,workshop,atlanta,Copywriting 101,http://generalassemb.ly/education/copywriting-101/atlanta/35564
29,2017-03-29T22:30:00.000Z,info-session,atlanta,JavaScript Development Info Session,http://generalassemb.ly/education/javascript-development/atlanta/learn-more/6360
30,2017-03-29T22:30:00.000Z,workshop,atlanta,"Intro to Adobe Illustrator: Tips, Tricks & Tools for Non-Designers",http://generalassemb.ly/education/intro-to-adobe-illustrator-tips-tricks-tools-for-non-designers/atlanta/33174
31,2017-03-31T14:00:00.000Z,workshop,atlanta,User Experience Design Bootcamp,http://generalassemb.ly/education/user-experience-design-bootcamp/atlanta/35578
32,2017-03-31T14:00:00.000Z,workshop,atlanta,SQL Bootcamp,http://generalassemb.ly/education/sql-bootcamp/atlanta/32452
33,2017-03-31T14:00:00.000Z,class,atlanta,Getting Started With WordPress,http://generalassemb.ly/education/getting-started-with-wordpress/atlanta/34721
34,2017-04-01T14:00:00.000Z,course,atlanta,Visual Design,http://generalassemb.ly/education/visual-design/atlanta
35,2017-04-01T14:00:00.000Z,workshop,atlanta,Code in One Day: HTML & CSS Crash Course,http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/atlanta/34602
36,2017-04-01T14:00:00.000Z,workshop,atlanta,Fundamentals of Python Bootcamp,http://generalassemb.ly/education/fundamentals-of-python-bootcamp/atlanta/35123
37,2017-04-03T22:30:00.000Z,course,atlanta,Front-End Web Development,http://generalassemb.ly/education/front-end-web-development/atlanta
38,2017-04-03T23:00:00.000Z,class,atlanta,Visual Design 101,http://generalassemb.ly/education/visual-design-101/atlanta/35531
39,2017-04-04T22:30:00.000Z,event,atlanta,Break Into Product Management,http://generalassemb.ly/education/break-into-product-management/atlanta/35652
40,2017-04-04T23:00:00.000Z,workshop,atlanta,Introduction to SQL,http://generalassemb.ly/education/introduction-to-sql/atlanta/35128
41,2017-04-06T00:00:00.000Z,event,atlanta,Tech Night Out at Dad's Garage!,http://generalassemb.ly/education/tech-night-out-at-dads-garage/atlanta/34497
42,2017-04-06T23:00:00.000Z,event,atlanta,How CSS Grid Is Reinventing Webpage Design,http://generalassemb.ly/education/how-css-grid-is-reinventing-webpage-design/atlanta/34844
43,2017-04-06T23:00:00.000Z,class,atlanta,Introduction to Google AdWords,http://generalassemb.ly/education/introduction-to-google-adwords/atlanta/35412
44,2017-04-13T22:00:00.000Z,event,atlanta,Atlanta Startup Battle,http://generalassemb.ly/education/atlanta-startup-battle/atlanta/34098
45,2017-04-14T13:00:00.000Z,workshop,atlanta,Product Management Bootcamp,http://generalassemb.ly/education/product-management-bootcamp/atlanta/34606
46,2017-04-14T13:00:00.000Z,workshop,atlanta,Excel Bootcamp: Formulas & Functions,http://generalassemb.ly/education/excel-bootcamp-formulas-functions/atlanta/34597
47,2017-04-15T14:00:00.000Z,workshop,atlanta,Digital Marketing Bootcamp,http://generalassemb.ly/education/digital-marketing-bootcamp--2/atlanta/35131
48,2017-04-18T23:00:00.000Z,class,atlanta,Coding 101: HTML & CSS,http://generalassemb.ly/education/coding-101-html-css/atlanta/35398
49,2017-04-19T22:30:00.000Z,workshop,atlanta,Blogging 101: How to Create a Successful Blog & Make Money Doing It,http://generalassemb.ly/education/blogging-101-how-to-create-a-successful-blog-make-money-doing-it/atlanta/34723
50,2017-04-24T13:00:00.000Z,immersive,atlanta,Web Development Immersive,http://generalassemb.ly/education/web-development-immersive/atlanta
51,2017-04-25T22:00:00.000Z,info-session,atlanta,Digital Marketing Info Session,http://generalassemb.ly/education/digital-marketing/atlanta/learn-more/6456
52,2017-04-25T23:00:00.000Z,workshop,atlanta,Copywriting 101,http://generalassemb.ly/education/copywriting-101/atlanta/35566
53,2017-04-29T14:00:00.000Z,workshop,atlanta,SQL Bootcamp,http://generalassemb.ly/education/sql-bootcamp/atlanta/35130
54,2017-05-01T23:00:00.000Z,course,atlanta,Product Management,http://generalassemb.ly/education/product-management/atlanta
55,2017-05-04T23:00:00.000Z,workshop,atlanta,Introduction to SQL,http://generalassemb.ly/education/introduction-to-sql/atlanta/35129
56,2017-05-05T14:00:00.000Z,workshop,atlanta,Code in One Day: HTML & CSS Crash Course,http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/atlanta/34604
