URL,U ID,Domain,Department,Name,Description,Type,Visits,Creation Date,Refresh rate,Last Update Date (data),Last Updated,Category,Keywords,Downloads,Owner,Owner UID,Contact Email,License,Data Provided By,Source Link,Routing & Approval,api_endpoint,System,Does this data have a Location column? (Yes or No),What geographic unit is the data collected?,geometryType,hasAttachments
https://data.lacity.org/d/ttiz-7an8,ttiz-7an8,data.lacity.org,LAPD,LAPD Crime and Collision Raw Data for 2016,,dataset,"20,298",12/03/2015 11:49:00 PM +0000,Monthly,12/07/2016 04:18:00 PM +0000,,A Safe City,"police,crime,collisions,lapd,traffic,safety","2,657",LAPD OpenData,art8-rc4x,n4490@lapd.online,Creative Commons 1.0 Universal (Public Domain Dedication),,,Not in Queue,https://data.lacity.org/resource/ttiz-7an8.json,,Yes,,,
https://data.lacity.org/d/iatr-8mqm,iatr-8mqm,data.lacity.org,LAPD,LAPD Crime and Collision Raw Data for 2013,LAPD Crime and Collision Raw Data for 2013,dataset,"2,589",05/29/2014 10:50:00 PM +0000,Quarterly,05/11/2016 02:22:00 PM +0000,,A Safe City,"police,crime,collisions,lapd,traffic,safety","1,323",LAPD OpenData,art8-rc4x,,Creative Commons 1.0 Universal (Public Domain Dedication),,,Not in Queue,https://data.lacity.org/resource/iatr-8mqm.json,,Yes,,,
https://data.lacity.org/d/t4h6-r362,t4h6-r362,data.lacity.org,Transportation,Parking Citations,Parking citations with latitude / longitude (XY) in US Feet coordinates according to the NAD_1983_StatePlane_California_V_FIPS_0405_Feet projection.,dataset,"1,709",05/14/2015 05:18:00 AM +0000,Daily,07/19/2016 09:14:00 PM +0000,,A Well Run City,,"4,679",ChelseaU,95pg-i79k,,Creative Commons 1.0 Universal (Public Domain Dedication),,,Not in Queue,https://data.lacity.org/resource/t4h6-r362.json,,Yes,Latitude/longitude,,
https://data.lacity.org/d/8jta-2ef4,8jta-2ef4,data.lacity.org,,Los Angeles County Metro Rail Stations,L.A. County Rail Stations from Metro,gis map,500,04/29/2014 08:51:00 PM +0000,,11/29/2016 06:44:00 PM +0000,,A Livable and Sustainable City,,227,LA DOT OpenData,8b8n-vh2w,,Creative Commons 1.0 Universal (Public Domain Dedication),,,Not in Queue,https://data.lacity.org/resource/8jta-2ef4.json,,,,,
https://data.lacity.org/d/p4zb-k7qp,p4zb-k7qp,data.lacity.org,General Services,City Facilities (Building Book),"List of city-owned facilities. The Department numbers correspond to the key below:

1		GENERAL SERVICES - MULTI OCCUPANCY				
2		BUILDING & SAFETY, DEPT OF				
4		ENGINEERING, BUREAU OF				
5		FIRE DEPARTMENT				
7		ANIMAL REGULATION, DEPT OF				
8		STREET SERVICES, BUREAU OF (BLDGS)				
9		POLICE DEPT				
10		CONVENTION CENTER				
12		STREET LIGHTING, BUREAU OF				
16		CITY CLERK				
17		CONTRACT ADMINISTRATION, BUREAU OF				
19		CULTURAL AFFAIRS DEPT				
20		SANITATION, BUREAU OF (REFUSE COLLECTION)				
21		SANITATION, BUREAU OF (SEWER MAINT.)				
22		INFORMATION TECHNOLOGY AGENCY				
23		CITY ATTORNEY				
24		RECREATION & PARKS - NON STRUCTURAL				
25		ST SERVICES, BUREAU OF (NON-STRUCT.)				
26		ST SERVICES, BUREAU OF (NON-STRUCT.)				
27		PERSONNEL DEPT				
28		CONTROLLER				
29		COUNCIL				
30		MAYOR				
31		PLANNING DEPT				
32		COMMISSION ON STATUS OF WOMEN				
33		NEIGHBORHOOD EMPOWERMENT, DEPT OF				
34		ACCOUNTING, BUREAU OF				
35	HOUSING DEPT						
36	PUBLIC WORKS, BOARD OF						
37	ENVIRONMENTAL AFFAIRS DEPT						
39	TREASURER						
40	MANAGEMENT EMPLOYEE SERVICES, BUREAU OF						
43	CITY EMPLOYEES' RETIREMENT SYSTEM						
44	ETHICS DEPT						
45	HUMAN RELATIONS COMMISSION						
46	AGING, DEPT OF						
47	COMMUNITY DEVELOPMENT DEPT						
48	ZOO DEPT						
49	STATE-COUNTY-CITY (JOINT OWNERSHIP)						
50	RECREATION & PARKS, DEPT OF						
51	LIBRARY DEPT						
52	WATER & POWER, DEPT OF						
53	AIRPORTS DEPT						
54	HARBOR DEPT						
55	PENSIONS						
56	COMMUNITY REDEVELOPMENT AGENCY						
57	HOUSING AUTHORITY						
58	COUNTY OF LOS ANGELES						
59	STATE OF CALIFORNIA						
60	VACANT DEVELOPED PROPERTY						
61	UNDEVELOPED PROPERTIES						
62	PRIVATELY OWNED PROPERTY						
63	TRANSPORTATION, DEPT OF						
65	COMMISSION FOR CHILDREN, YOUTH & FAMILIES",dataset,939,12/23/2014 06:21:00 PM +0000,Other - See Description,12/23/2014 06:24:00 PM +0000,,A Well Run City,"buildings,city properties,city facilities",588,Abhi Nemani,7t2j-pb28,abhi.nemani@lacity.org,Creative Commons 1.0 Universal (Public Domain Dedication),City of Los Angeles,,Not in Queue,https://data.lacity.org/resource/p4zb-k7qp.json,,No,,,
https://data.lacity.org/d/2ep2-m9eh,2ep2-m9eh,data.lacity.org,LADWP,LADWP Call Wait Times,Average call wait time for LADWP Customers.,dataset,493,05/23/2014 09:32:00 PM +0000,,11/12/2014 09:44:00 PM +0000,,A Well Run City,customer call wait time,533,LA DWP OpenData,hb8e-gdsp,,Creative Commons 1.0 Universal (Public Domain Dedication),LADWP,,Not in Queue,https://data.lacity.org/resource/2ep2-m9eh.json,,,,,
https://data.lacity.org/d/ecai-dcsz,ecai-dcsz,data.lacity.org,Mayor's Office,CA EDD Employment - State & County - GOVSTAT,"Seasonally adjusted, monthly employment data for the state and for LA County",dataset,423,05/06/2014 10:33:00 PM +0000,,05/14/2014 09:27:00 PM +0000,,A Prosperous City,"employment,ca,edd,jobs",279,Mayor's Office OpenData,tgn6-4379,,Creative Commons 1.0 Universal (Public Domain Dedication),,,Not in Queue,https://data.lacity.org/resource/ecai-dcsz.json,,,,,
https://data.lacity.org/d/s9rj-h3s6,s9rj-h3s6,data.lacity.org,LAPD,Crimes 2012-2016,"This is the combined raw crime data for 2012 through 2016. Please note that is is missing a few weeks in both December 2015 and December 2016. LAPD is currently working on filling in these gaps and increasing the update frequency for crime data. 

Also note that this is a large dataset! You can use the Filter button in the toolbar to view a specific time frame or a subset of crimes before exporting.",dataset,"2,580",03/16/2016 02:36:00 PM +0000,Other - See Description,03/07/2017 07:27:00 PM +0000,,A Safe City,"police,crime,collisions,lapd,traffic,safety","6,815",ChelseaU,95pg-i79k,chelsea.ursaner@lacity.org,Creative Commons 1.0 Universal (Public Domain Dedication),LAPD,,Not in Queue,https://data.lacity.org/resource/s9rj-h3s6.json,,Yes,,,
https://data.lacity.org/d/uxe3-4ygv,uxe3-4ygv,data.lacity.org,LAPD,LAPD Crime and Collision Raw Data for 2012,,dataset,551,12/03/2015 07:46:00 PM +0000,Quarterly,12/03/2015 07:53:00 PM +0000,,A Safe City,"police,crime,collisions,lapd,traffic,safety",691,LAPD OpenData,art8-rc4x,,Creative Commons 1.0 Universal (Public Domain Dedication),,,Not in Queue,https://data.lacity.org/resource/uxe3-4ygv.json,,Yes,,,
https://data.lacity.org/d/6rrh-rzua,6rrh-rzua,data.lacity.org,Office of Finance,Listing of Active Businesses,"Listing of all active businesses currently registered with the Office of Finance. An ""active"" business is defined as a registered business whose owner has not notified the Office of Finance of a cease of business operations. Update Interval: Monthly.",dataset,"142,495",05/21/2014 05:21:00 PM +0000,Monthly,07/17/2017 06:42:00 PM +0000,,A Prosperous City,,"5,606",Office of Finance OpenData,c255-4shb,Finance.OpenData@lacity.org,Creative Commons 1.0 Universal (Public Domain Dedication),Office of Finance,,,https://data.lacity.org/resource/6rrh-rzua.json,,Yes,,,
